	strain	gisaid_epi_isl	originating_lab	submitting_lab	author
1866	hCoV-19/TrinidadandTobago/66722/2021	EPI_ISL_2678174	The Caribbean Public Health Agency	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo, Arianne Brown-Jordan, Sarah Hill, Vernie Ramkissoon, Anushka Ramjag, Roshan Parasram, Avery Hinds, Risha Singh, SueMin Nathaniel, Nuno Faria, Oliver Pybus, Gabriel Escobar, Christine V. F. Carrington
1867	hCoV-19/TrinidadandTobago/72364/2021	EPI_ISL_2756578	The Caribbean Public Health Agency	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo, Arianne Brown-Jordan, Sarah Hill, Vernie Ramkissoon, Anushka Ramjag, Roshan Parasram, Avery Hinds, Risha Singh, SueMin Nathaniel, Nuno Faria, Oliver Pybus, Gabriel Escobar, Christine V. F. Carrington
1868	hCoV-19/TrinidadandTobago/58563/2021	EPI_ISL_3846004	Trinidad Public Health Laboratory	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo, Arianne Brown-Jordan, Sarah Hill, Vernie Ramkissoon, Anushka Ramjag, Roshan Parasram, Avery Hinds, Risha Singh, SueMin Nathaniel, Nuno Faria, Oliver Pybus, Christopher Oura, Gabriel Escobar, Christine V. F. Carrington
1869	hCoV-19/TrinidadandTobago/64359/2021	EPI_ISL_2658401	The Caribbean Public Health Agency	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo, Arianne Brown-Jordan, Sarah Hill, Vernie Ramkissoon, Anushka Ramjag, Roshan Parasram, Naresh Nandram, Avery Hinds, Karla Georges, Risha Singh, SueMin Nathaniel, Nuno Faria, Oliver Pybus, Christopher Oura, Gabriel Escobar, Christine V. F. Carrington
1870	hCoV-19/TrinidadandTobago/72507/2021	EPI_ISL_2756579	The Caribbean Public Health Agency	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo, Arianne Brown-Jordan, Sarah Hill, Vernie Ramkissoon, Anushka Ramjag, Roshan Parasram, Avery Hinds, Risha Singh, SueMin Nathaniel, Nuno Faria, Oliver Pybus, Gabriel Escobar, Christine V. F. Carrington
1871	hCoV-19/TrinidadandTobago/66356/2021	EPI_ISL_3634469	The Caribbean Public Health Agency	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo, Arianne Brown-Jordan, Sarah Hill, Vernie Ramkissoon, Anushka Ramjag, Roshan Parasram, Avery Hinds, Risha Singh, SueMin Nathaniel, Nuno Faria, Oliver Pybus, Christopher Oura, Gabriel Escobar, Christine V. F. Carrington
1872	hCoV-19/TrinidadandTobago/73954/2021	EPI_ISL_2716580	The Caribbean Public Health Agency	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo, Arianne Brown-Jordan, Sarah Hill, Vernie Ramkissoon, Anushka Ramjag, Roshan Parasram, Avery Hinds, Risha Singh, SueMin Nathaniel, Nuno Faria, Oliver Pybus, Gabriel Escobar, Christine V. F. Carrington
1873	hCoV-19/TrinidadandTobago/59135/2021	EPI_ISL_3924132	Trinidad Public Health Laboratory	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo, Arianne Brown-Jordan, Sarah Hill, Vernie Ramkissoon, Anushka Ramjag, Roshan Parasram, Avery Hinds, Risha Singh, SueMin Nathaniel, Nuno Faria, Oliver Pybus, Christopher Oura, Gabriel Escobar, Christine V. F. Carrington
1874	hCoV-19/TrinidadandTobago/73842/2021	EPI_ISL_2716577	The Caribbean Public Health Agency	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo, Arianne Brown-Jordan, Sarah Hill, Vernie Ramkissoon, Anushka Ramjag, Roshan Parasram, Avery Hinds, Risha Singh, SueMin Nathaniel, Nuno Faria, Oliver Pybus, Gabriel Escobar, Christine V. F. Carrington
1875	hCoV-19/TrinidadandTobago/49928/2021	EPI_ISL_3610769	Trinidad Public Health Laboratory	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo, Arianne Brown-Jordan, Sarah Hill, Vernie Ramkissoon, Anushka Ramjag, Roshan Parasram, Avery Hinds, Risha Singh, SueMin Nathaniel, Nuno Faria, Oliver Pybus, Gabriel Escobar, Christine V. F. Carrington
1876	hCoV-19/TrinidadandTobago/68586/2021	EPI_ISL_2716590	The Caribbean Public Health Agency	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo, Arianne Brown-Jordan, Sarah Hill, Vernie Ramkissoon, Anushka Ramjag, Roshan Parasram, Avery Hinds, Risha Singh, SueMin Nathaniel, Nuno Faria, Oliver Pybus, Gabriel Escobar, Christine V. F. Carrington
1877	hCoV-19/TrinidadandTobago/70631/2021	EPI_ISL_2716589	The Caribbean Public Health Agency	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo, Arianne Brown-Jordan, Sarah Hill, Vernie Ramkissoon, Anushka Ramjag, Roshan Parasram, Avery Hinds, Risha Singh, SueMin Nathaniel, Nuno Faria, Oliver Pybus, Gabriel Escobar, Christine V. F. Carrington
1878	hCoV-19/TrinidadandTobago/59828/2021	EPI_ISL_3760200	Trinidad Public Health Laboratory	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo, Arianne Brown-Jordan, Sarah Hill, Vernie Ramkissoon, Anushka Ramjag, Roshan Parasram, Avery Hinds, Risha Singh, SueMin Nathaniel, Nuno Faria, Oliver Pybus, Christopher Oura, Gabriel Escobar, Christine V. F. Carrington
1879	hCoV-19/TrinidadandTobago/58904/2021	EPI_ISL_3846011	Trinidad Public Health Laboratory	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo, Arianne Brown-Jordan, Sarah Hill, Vernie Ramkissoon, Anushka Ramjag, Roshan Parasram, Avery Hinds, Risha Singh, SueMin Nathaniel, Nuno Faria, Oliver Pybus, Christopher Oura, Gabriel Escobar, Christine V. F. Carrington
1880	hCoV-19/TrinidadandTobago/59075/2021	EPI_ISL_3924136	Trinidad Public Health Laboratory	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo, Arianne Brown-Jordan, Sarah Hill, Vernie Ramkissoon, Anushka Ramjag, Roshan Parasram, Avery Hinds, Risha Singh, SueMin Nathaniel, Nuno Faria, Oliver Pybus, Christopher Oura, Gabriel Escobar, Christine V. F. Carrington
1881	hCoV-19/TrinidadandTobago/48653/2021	EPI_ISL_3634448	Trinidad Public Health Laboratory	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo, Arianne Brown-Jordan, Sarah Hill, Vernie Ramkissoon, Anushka Ramjag, Roshan Parasram, Avery Hinds, Risha Singh, SueMin Nathaniel, Nuno Faria, Oliver Pybus, Christopher Oura, Gabriel Escobar, Christine V. F. Carrington
1882	hCoV-19/Aruba/AW-RIVM-39273/2021	EPI_ISL_2610733	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer, Harry Vennema, Dirk Eggink, Jeroen Cremer, Sharon van den Brink, Bas van der Veer, AnneMarie van den Brandt, Lisa Wijsman, Kim Freriks, Ryanne Jaarsma, Euníce Then, Lynn Aarts, Sanne Bos, Melissa van Tuil, Linda van de Nes, Florian Zwagemaker, Dennis Schmitz, Annelies Kroneman, Karim Hajji, Chantal Reusken, on behalf of the national COVID-19 response team
1883	hCoV-19/CostaRica/HNN-1035/2021	EPI_ISL_3761771	HOSPITAL NACIONAL DE NIÑOS	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Cristian Pérez-Corrales & Valeria Peralta-Barquero
1884	hCoV-19/Chile/RM-104545/2021	EPI_ISL_2756287	Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile	Karen Orostica, Constanza Campano, Barbara Parra, Loredana Arata, Gisselle Barra, Patricia Bustos, Rodrigo Fasce, Javier Tognarelli, Andres Castillo, Soledad Ulloa, Jorge Fernandez
1885	hCoV-19/Argentina/INEI104597/2021	EPI_ISL_2158755	Servicio Virosis Respiratorias-Departamento Virología-INEI	Instituto Nacional Enfermedades Infecciosas C.G.Malbran	Baumeister E., Avaro M., Benedetti E., Russo M., Dattero ME, Pontoriero A., Cisterna D., Molina V., Perandones C., Tuduri E., Lorenzo F., Poklepovich T., Campos J.
1886	hCoV-19/Paraguay/iics_12552/2021	EPI_ISL_2444817	IICS-UNA	IICS-UNA	Magaly Martinez, Adriana Valenzuela, Alejandra Rojas, Chyntia Diaz, Eva Nara, Fatima Cardozo, Florencia del Puerto, Joel Ortiz, Jonas Fernandez, Laura Franco, Laura Mendoza, Leticia Rojas, Maria Eugenia Galeano.
1887	hCoV-19/Argentina/PAIS-J00048/2021	EPI_ISL_3825477	Hosp. Pediatrico Dr. Avelino Castelán	Laboratorio de Biología Molecular, Instituto de Medicina Regional on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	María Andrea Gili, María Cecilia López, Julieta Ronchi, Gioia Lucia Marino, Bettina Brusés, Laura Formichelli, Griselda Oria, Melina Lorenzini Campos, Javier Mussin, Raúl Maximiliano Acevedo, Horacio Lucero.
1888	hCoV-19/Italy/UMB-IZSGC-297079.1.38/2021	EPI_ISL_2840669	Azienda USL Umbria 2	Istituto Zooprofilattico Sperimentale dell’Abruzzo e Molise “G. Caporale”	Proietti A, Pistoni E, Lorusso A, Marcacci M, Di Domenico M, Ancora M, Curini V, Mangone I, Rinaldi A, Delli Compagni E, Scialabba S, Di Pasquale A, Cammà C, Puglia I, Calistri P, Savini G
1889	hCoV-19/Jordan/AM-Biolab012/2021	EPI_ISL_1406183	Biolab Diagnostic Laboratories	Biolab Diagnostic Laboratories	Issa Abu-Dayyeh, Ahmad Tibi, Lama Hussein, Shayma Ali, Badia Saddedin, Eiad Atwa, Amid Abdelnour
1890	hCoV-19/Mexico/SLP-InDRE_FB17612_S3652/2021	EPI_ISL_2779159	LESP San Luis Potosi	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula, Abril Rodriguez-Maldonado, Vanessa Rivero-Arredondo, Ariadna Medina-Benitez, Joaquin Quiroz-Mercado, Sergio Rangel-Guerrero, Maribel Gonzalez-Villa, Natividad Cruz-Ortiz, Tatiana Nunez-Garcia, Gisela Barrera-Badillo, Lucia Hernandez-Rivas, Irma Lopez-Martinez, Ernesto Ramirez-Gonzalez.
1891	hCoV-19/Guatemala/ASI4073/2021	EPI_ISL_3527796	Laboratorio Nacional de Salud	"Asociación de Salud Integral / Clínica Familiar ""Luis Ángel García"""	Eduardo Arathon, Ana S. Gonzalez-Reiche, Claudia Rangel, Luis Rivas, Oscar Bonilla, Narda Medina, Luis Aguirre, Danicela Mercado, Hilda Ruiz, Osmar Gamboa.
1892	hCoV-19/Guatemala/ASI4150/2021	EPI_ISL_3835378	Laboratorio Nacional de Salud	"Asociación de Salud Integral / Clínica Familiar ""Luis Ángel García"""	Eduardo Arathon, Ana S. Gonzalez-Reiche, Claudia Rangel, Luis Rivas, Oscar Bonilla, Narda Medina, Luis Aguirre, Danicela Mercado, Hilda Ruiz, Osmar Gamboa.
1893	hCoV-19/Brazil/SP-NXBS256GENOV827528599959/2021	EPI_ISL_3663987	DASA	DASA	Rodrigo Guarischi, Paulo Pierry, Adriano Bonaldi, Cristina Oliveira, Bianca Cota, Angelica Hristov, Lidia Yamamoto, Rodrigo Salazar, Annelise Lopes, Jose Levi
1894	hCoV-19/Colombia/MET-INS-VG-5017/2021	EPI_ISL_3459378	HOSPITAL DEPARTAMENTAL DE VILLAVICENCIO	Instituto Nacional de Salud	Katherine Laiton-Donato, Diego A. Álvarez-Díaz, Carlos Franco-Muñoz, Hector Alejandro Ruiz-Moreno, Paola Rojas, Maria T. Herrera-Sepúlveda, Diego Andrés Prada, Jhonnatan Reales-González, Sheryll Corchuelo, Julian Naizaque, Jorge Rivera, Gerardo Santamaría, Sergio Gomez, Lisseth Pardo, Juan Camilo Martinez, Marta Lopez Blanco, Ángela Alarcon Cruz, Diana Malo, Carmen Osorio, Magdalena Wiesner, Martha Lucia Ospina Martinez, Marcela Mercado-Reyes
1895	hCoV-19/Colombia/AMA-INS-VG-1551/2021	EPI_ISL_1632511	LDSP Amazonas	Instituto Nacional de Salud- Dirección de Investigación en Salud Pública	Katherine Laiton-Donato, Diego A. Álvarez-Díaz, Carlos Franco-Muñoz, Hector Alejandro Ruiz-Moreno, Paola Rojas, Maria T. Herrera-Sepúlveda, Diego Andrés Prada, Jhonnatan Reales-González, Sheryll Corchuelo, Julian Naizaque, Jorge Rivera, Gerardo Santamaría, Sergio Gomez, Lisseth Pardo, Juan Camilo Martinez, Marta Lopez Blanco, Ángela Alarcon Cruz, Diana Malo, Carmen Osorio, Magdalena Wiesner, Martha Lucia Ospina Martinez, Marcela Mercado-Reyes
1896	hCoV-19/Bonaire/BQ-RIVM-45034/2021	EPI_ISL_3137106	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer, Harry Vennema, Dirk Eggink, Jeroen Cremer, Sharon van den Brink, Bas van der Veer, AnneMarie van den Brandt, Lisa Wijsman, Kim Freriks, Ryanne Jaarsma, Euníce Then, Lynn Aarts, Sanne Bos, Melissa van Tuil, Florian Zwagemaker, Dennis Schmitz, Annelies Kroneman, Karim Hajji, Chantal Reusken, on behalf of the national COVID-19 response team
1897	hCoV-19/Argentina/PAIS-G0315/2021	EPI_ISL_2940275	Laboratorio Central, Ministerio de Salud Córdoba	Instituto de Patologia Vegetal (CIAP-INTA) on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Fernández, FD; Marquez, N.; Debat, HJ.; M; Re, V.; Pisano, M.B.; Castro, G.; Barbas, G.
1898	hCoV-19/Argentina/PAIS-J00052/2021	EPI_ISL_3825480	Laboratorio Central de Salud Publica	Laboratorio de Biología Molecular, Instituto de Medicina Regional on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Verónica Gómez, Erica Struss, Victoria Femenías, Esteban Paredes, Andrea Ayala, Bettina Brusés, Laura Formichelli, Griselda Oria, Melina Lorenzini Campos, Javier Mussin, Raúl Maximiliano Acevedo, Horacio Lucero.
1899	hCoV-19/Colombia/CO-UV-20027012/2021	EPI_ISL_3898955	Universidad del Valle, LDAB-Laboratorio de Diagnostico de Agentes Biologicos	Universidad del Valle	Programa Nacional de Caracterización Genómica de SARS-CoV-2
1900	hCoV-19/Brazil/RS-LMM60255/2021	EPI_ISL_3456067	Laboratório de Microbiologia Molecular - Universidade FEEVALE	Molecular Microbiology Laboratory	Alana Witt Hansen, Fágner Henrique Heldt, Fernando Rosado Spilki, Juliana Schons Gulart, Juliane Deise Fleck, Mariana Soares da Silva, Meriane Demoliner, Matheus Nunes Weber, Paula Rodrigues de Almeida, Michele Filippi.
1901	hCoV-19/Colombia/CVU3871/2021	EPI_ISL_3491805	Gencore - Universidad de los Andes	Gencore - Universidad de los Andes	Luisa Sacristan, David González, Cristian Barrera, Marcela Guevara, Catherine Jaller, Silvia Restrepo
1902	hCoV-19/Venezuela/Dtt54/2021	EPI_ISL_2628299	IVIC	Laboratorio de Virología Molecular	Rossana C Jaspe, Carmen L Loureiro, Yoneira Sulbaran, Pierina D´Angelo, Zoila Moros, Lieska Rodríguez, José Luis Zambrano, Mariana Hidalgo, Esmeralda Vizzi, Víctor Alarcón, Domingo J Garzaro, CoViVen Group, Héctor R Rangel, Flor H Pujol
1903	hCoV-19/Venezuela/Dtt292/2021	EPI_ISL_2628305	IVIC	Laboratorio de Virología Molecular	Rossana C Jaspe, Carmen L Loureiro, Yoneira Sulbaran, Pierina D´Angelo, Zoila Moros, Lieska Rodríguez, José Luis Zambrano, Mariana Hidalgo, Esmeralda Vizzi, Víctor Alarcón, Domingo J Garzaro, CoViVen Group, Héctor R Rangel, Flor H Pujol
1904	hCoV-19/Argentina/PAIS-E0320/2021	EPI_ISL_3260104	Laboratorio Central de la Ciudad de Santa Fe	Grupo de Genómica y Bioinformática del Instituto de Investigación de la Cadena Láctea CONICET-INTA on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Eberhardt, MF; Irazoqui, JM; Ojeda, G; Rompato, G; Mugna, V; Pastor, C; Amadio, AF
1905	hCoV-19/Paraguay/iics_12537/2021	EPI_ISL_2444819	IICS-UNA	IICS-UNA	Magaly Martinez, Adriana Valenzuela, Alejandra Rojas, Chyntia Diaz, Eva Nara, Fatima Cardozo, Florencia del Puerto, Joel Ortiz, Jonas Fernandez, Laura Franco, Laura Mendoza, Leticia Rojas, Maria Eugenia Galeano.
1906	hCoV-19/Paraguay/iics_12532/2021	EPI_ISL_2444820	IICS-UNA	IICS-UNA	Magaly Martinez, Adriana Valenzuela, Alejandra Rojas, Chyntia Diaz, Eva Nara, Fatima Cardozo, Florencia del Puerto, Joel Ortiz, Jonas Fernandez, Laura Franco, Laura Mendoza, Leticia Rojas, Maria Eugenia Galeano.
1907	hCoV-19/Argentina/PAIS-J00058/2021	EPI_ISL_3825486	Laboratorio Central de Salud Publica	Laboratorio de Biología Molecular, Instituto de Medicina Regional on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Verónica Gómez, Erica Struss, Victoria Femenías, Esteban Paredes, Andrea Ayala, Bettina Brusés, Laura Formichelli, Griselda Oria, Melina Lorenzini Campos, Javier Mussin, Raúl Maximiliano Acevedo, Horacio Lucero.
1908	hCoV-19/Canada/NL-NML-85357/2021	EPI_ISL_2484594	NL-Dr. Leonard A. Miller Centre for Health Services	National Microbiology Laboratory (NML)	Anna Majer, Shari Tyson, Grace Seo, Philip Mabon, Elsie Grudeski, Rhiannon Huzarewich, Russell Mandes, Anneliese Landgraff, Jennifer Tanner, Natalie Knox, Morag Graham, Gary Van Domselaar, Robert Needle, Yang Yu, Adel Malek, Laura Gilbert, George Zahariadis, Nathalie Bastien, Yan Li, Timothy Booth, Darian Hole, Madison Chapel, Kirsten Biggar, Kerri Smith, CanCOGeN's metadata curation team, Public Health Agency of Canada CanCOGeN team
1909	hCoV-19/Canada/BC-BCCDC-125482/2021	EPI_ISL_3601404	British Columbia Centre For Disease Control	BCCDC Public Health Laboratory	Prystajecky Natalie, Linda Hoang, Dan Fornika, John Tyson, Shannon Russell, Kim Macdonald, Kimia Kamelian, Ana Pacagnella, Corrinne Ng, Loretta Janz, Robert Azana, Mel Krajden
1910	hCoV-19/NewZealand/21CV0182/2021	EPI_ISL_1904855	Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Rachel Boyle, SallyAnn Harbison, Olivia Stroeven, Xiaoyun Ren, Matt Storey, Nikki Freed, Muhammad Faisal, Jing Wang, Hermes Perez, Anja Werno, Antje van der Linden, Arlo Upton, Chris Mansell, David Hammer, Dragana Drinkovic, Gary McAuliffe, Hana Sofia Andersson, James Ussher, Jill Sherwood, Josh Freeman, Julia Howard, Juliet Elvy, Mary DeAlmeida, Matt Blakiston, Matthew Rogers, Max Bloomfield, Michael Addidle, Michelle Balm, Sally Roberts, Sarah Jefferies, Sharmini Muttaiyah, Susan Morpeth, Susan Taylor, Timothy Blackmore, Vani Sathyendran, Veronica Playle, Virginia Hope, Erasmus Smit, Lauren Jelly, Olin Silander, Joep de Ligt
1911	hCoV-19/Argentina/PAIS-G0311/2021	EPI_ISL_2940272	Laboratorio Central, Ministerio de Salud Córdoba	Instituto de Patologia Vegetal (CIAP-INTA) on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Fernández, FD; Marquez, N.; Debat, HJ.; M; Re, V.; Pisano, M.B.; Castro, G.; Barbas, G.
1912	hCoV-19/Canada/BC-BCCDC-115281/2021	EPI_ISL_3491060	British Columbia Centre For Disease Control	BCCDC Public Health Laboratory	Prystajecky Natalie, Linda Hoang, Dan Fornika, John Tyson, Shannon Russell, Kim Macdonald, Kimia Kamelian, Ana Pacagnella, Corrinne Ng, Loretta Janz, Robert Azana, Mel Krajden
1913	hCoV-19/Brazil/SP-IB_111350/2021	EPI_ISL_2493544	CENTRO DE SAUDE III BORBOREMA	Instituto Butantan	Dimas Tadeu Covas, Antonio Jorge Martins, Claudia Renata dos Santos Barros, David Schlesinger, Debora Botequio Moretti, Elaine Cristina Marqueze, Elaine Vieira Santos, Evandra Strazza Rodrigues, Heidge Fukumasu, Jayme Augusto de Souza-Neto, José Salvatore Leister Patané, Luiz Alcantara, Luiz Lehmann Coutinho, Maria Carolina Elias, Maurício Lacerda Nogueira, Rafael dos Santos Bezerra, Raul Machado Neto, Rejane Maria Tommasini Grotto, Ricardo Haddad, Sandra Coccuzzo Sampaio Vessoni, Simone Kashima, Svetoslav Nanev Slavov, Vincent Louis Viala
1914	hCoV-19/Brazil/SP-HIAE-ID375/2021	EPI_ISL_3246187	LATE - Laboratório de Técnicas Especiais - Hospital Israelita Albert Einstein	LATE - Laboratório de Técnicas Especiais - Hospital Israelita Albert Einstein	Deyvid Amgarten, Fernanda de Mello Malta, Raquel Riyuzo, Ana Paula Moreira Salles, Pedro Henrique Sebe Rodrigues, Alexandre Hideaki Takara, Anelisie da Silva Santos, Erick Gustavo Dorlass, Marcio Anunciacao Menezes, João Renato Rebello Pinho
1915	hCoV-19/Aruba/AW-RIVM-32967/2021	EPI_ISL_2219098	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer, Harry Vennema, Dirk Eggink, Jeroen Cremer, Sharon van den Brink, Bas van der Veer, AnneMarie van den Brandt, Lisa Wijsman, Kim Freriks, Ryanne Jaarsma, Euníce Then, Lynn Aarts, Sanne Bos, Melissa van Tuil, Linda van de Nes, Sjoerd Kuiling, James Groot, Florian Zwagemaker, Dennis Schmitz, Annelies Kroneman, Karim Hajji, Chantal Reusken, on behalf of the national COVID-19 response team
1916	hCoV-19/Aruba/AW-RIVM-38708/2021	EPI_ISL_2610169	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer, Harry Vennema, Dirk Eggink, Jeroen Cremer, Sharon van den Brink, Bas van der Veer, AnneMarie van den Brandt, Lisa Wijsman, Kim Freriks, Ryanne Jaarsma, Euníce Then, Lynn Aarts, Sanne Bos, Melissa van Tuil, Linda van de Nes, Florian Zwagemaker, Dennis Schmitz, Annelies Kroneman, Karim Hajji, Chantal Reusken, on behalf of the national COVID-19 response team
1917	hCoV-19/SintMaarten/SX-RIVM-46223/2021	EPI_ISL_3138298	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer, Harry Vennema, Dirk Eggink, Jeroen Cremer, Sharon van den Brink, Bas van der Veer, AnneMarie van den Brandt, Lisa Wijsman, Kim Freriks, Ryanne Jaarsma, Euníce Then, Lynn Aarts, Sanne Bos, Melissa van Tuil, Florian Zwagemaker, Dennis Schmitz, Annelies Kroneman, Karim Hajji, Chantal Reusken, on behalf of the national COVID-19 response team
1918	hCoV-19/Luxembourg/LNS7677373/2021	EPI_ISL_3145961	BioneXt Lab	Laboratoire national de sante, Microbiology, Microbial Genomics Platform	Anke Wienecke-Baldacchino, Catherine Ragimbeau,Jessica Tapp, Fatu Djabi, Lise Pignon, Raoul Salmon,Virginie Jover, Elodie Solarino, Thibault Ferrandon, Tamir Abdelrahman
1919	hCoV-19/Luxembourg/LNS5051782/2021	EPI_ISL_3147471	Laboratoires Reunis	Laboratoire national de sante, Microbiology, Microbial Genomics Platform	Anke Wienecke-Baldacchino, Catherine Ragimbeau,Jessica Tapp, Fatu Djabi, Lise Pignon, Raoul Salmon, Virginie Jover, Elodie Solarino, Bernard Weber, Tamir Abdelrahman
1920	hCoV-19/Luxembourg/LNS8864053/2021	EPI_ISL_3148171	Laboratoires d'analyses medicales - Ketterthill	Laboratoire national de sante, Microbiology, Microbial Genomics Platform	Anke Wienecke-Baldacchino, Catherine Ragimbeau,Jessica Tapp, Fatu Djabi, Lise Pignon, Raoul Salmon, Virginie Jover, Elodie Solarino, Serge Vedy, Caroline Scheiber, Tamir Abdelrahman
1921	hCoV-19/Luxembourg/LNS0421680/2021	EPI_ISL_3146084	BioneXt Lab	Laboratoire national de sante, Microbiology, Microbial Genomics Platform	Anke Wienecke-Baldacchino, Catherine Ragimbeau,Jessica Tapp, Fatu Djabi, Lise Pignon, Raoul Salmon,Virginie Jover, Elodie Solarino, Thibault Ferrandon, Tamir Abdelrahman
1922	hCoV-19/Argentina/INEI104766/2021	EPI_ISL_2158825	Servicio Virosis Respiratorias-Departamento Virología-INEI	Instituto Nacional Enfermedades Infecciosas C.G.Malbran	Baumeister E., Avaro M., Benedetti E., Russo M., Dattero ME, Pontoriero A., Cisterna D., Molina V., Perandones C., Tuduri E., Lorenzo F., Poklepovich T., Campos J.
1923	hCoV-19/Argentina/INEI103400/2021	EPI_ISL_2135688	Servicio Virosis Respiratorias-Departamento Virología-INEI	Instituto Nacional Enfermedades Infecciosas C.G.Malbran	Baumeister E., Avaro M., Benedetti E., Russo M., Dattero ME, Pontoriero A., Cisterna D., Molina V., Perandones C., Tuduri E., Lorenzo F., Poklepovich T., Campos J.
1924	hCoV-19/Chile/AP-105302/2021	EPI_ISL_2659156	Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile	Karen Orostica, Constanza Campano, Barbara Parra, Loredana Arata, Gisselle Barra, Patricia Bustos, Rodrigo Fasce, Javier Tognarelli, Andres Castillo, Soledad Ulloa, Jorge Fernandez
1925	hCoV-19/Chile/MA-CADIUMAG-00933/2021	EPI_ISL_3134276	Laboratorio de Medicina Molecular, Universidad de Magallanes	Centro Asistencial Docente y de Investigacion, Universidad de Magallanes	Constanza Ceroni, Diego Alvarez, Jorge González, Jacqueline Aldridge, Carolina Pérez, Inés Cid, Juan Ríos, Marcelo Navarrete
1926	hCoV-19/Chile/AP-125394/2021	EPI_ISL_3185715	Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile	Karen Orostica, Constanza Campano, Barbara Parra, Loredana Arata, Gisselle Barra, Patricia Bustos, Rodrigo Fasce, Javier Tognarelli, Andres Castillo, Soledad Ulloa, Jorge Fernandez
1927	hCoV-19/Chile/RM-107173/2021	EPI_ISL_2756313	Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile	Karen Orostica, Constanza Campano, Barbara Parra, Loredana Arata, Gisselle Barra, Patricia Bustos, Rodrigo Fasce, Javier Tognarelli, Andres Castillo, Soledad Ulloa, Jorge Fernandez
